mape,wape,rmse,mae,r2,model,improvement_vs_baseline
80.19531852710104,24.93129583481534,155582.5002015983,98014.50489193469,0.8401134014132248,RandomForest,52.157291800424744
25.13311716702937,25.13311716702937,,,,Ensemble_Trimmed,51.77000029461855
25.15950882102872,25.15950882102872,,,,Ensemble_Avg,51.719355185372685
112.47030809390475,25.184051054816493,155357.60703266272,99008.18279425493,0.8405752967513331,GBDT,51.672259080242256
25.21630483931637,25.21630483931637,,,,Ensemble_Median,51.610364648024074
114.70174012456779,25.88226615485182,158222.24943709985,101753.13467286801,0.8346418213771993,XGBoost,50.33239686397993
123.4756716618057,25.962709394317823,160795.1292809516,102069.38796112081,0.8292202595127464,LightGBM,50.17802773459733
28.385915446379762,28.385915446379762,,,,Ensemble_Weighted,45.52793891352812
90.63884779586505,29.338608220603447,177657.3863540841,115341.34358733344,0.7915234996209304,Ridge,43.69973861848457
52.11096272145538,52.11096272145538,,,,Baseline_Seasonal,0.0
53.22682754210354,53.22682754210354,,,,Baseline_Mean,-2.141324516710058
66.62368774414062,66.62368774414062,,,,Transformer,-27.84965823843818
70.25349426269531,70.25349426269531,,,,LSTM,-34.81519164828287
