model,wape,mape,rmse,mae,r2,improvement_vs_baseline
Ensemble_Median,53.03761299076869,53.03761299076869,,,,29.38609308923667
RandomForest,53.160428772225345,4.182429659776141e+18,113654.29007243252,30256.74840094069,0.7186463641521316,29.222577016964298
Ensemble_Trimmed,53.16996614665691,53.16996614665691,,,,29.209879023364905
XGBoost,53.55516565269384,4.760554323190495e+18,107870.6012979259,30481.41653761207,0.746553053125423,28.697027095694295
Ensemble_Weighted,53.58184523744329,53.58184523744329,,,,28.661506083196176
Ensemble_Avg,53.58184523744329,53.58184523744329,,,,28.661506083196176
GBDT,54.1624125911954,8.153554362922257e+18,114453.89208482357,30827.036734059446,0.7146735741736748,27.88854276977528
LightGBM,54.22020391267327,4.848882174771285e+18,115284.31567647391,30859.92919776033,0.7105181652122148,27.811599808639404
Ridge,59.32045691231998,8.305783478854585e+18,115160.54342225839,33762.78523853176,0.7111394220609168,21.02115864378006
Baseline_MovingAvg3,75.10930255961298,75.10930255961298,,,,0.0
Baseline_Mean,77.04676562182568,77.04676562182568,,,,-2.57952476748798
Baseline_SeasonalNaive,81.32666710931646,81.32666710931646,,,,-8.277755667840022
Baseline_LastValue,83.73913586079374,83.73913586079374,,,,-11.489699687107866
LSTM,121.2276611328125,121.2276611328125,,,,-61.40165998292443
Transformer,122.50131225585938,122.50131225585938,,,,-63.09739017831001
